Grupo,Inicial,Final,Crescimento_abs,Crescimento_pct
C3,0.224,0.216,-0.008000000000000007,-3.57
C0,0.165,0.643,0.478,289.7
C2,0.158,0.058,-0.1,-63.29
C0,0.15,0.48,0.32999999999999996,220.0
C2,0.058,0.066,0.008,13.79
C0,0.022,0.01,-0.011999999999999999,-54.55
C1,0.442,0.98,0.538,121.72
C1,0.088,0.146,0.057999999999999996,65.91
C2,0.202,0.313,0.11099999999999999,54.95
C1,0.179,0.844,0.665,371.51
C2,0.374,1.16,0.7859999999999999,210.16
C1,0.197,0.223,0.025999999999999995,13.2
C2,0.1,0.184,0.08399999999999999,84.0
C0,0.132,0.171,0.03900000000000001,29.55
C3,0.637,1.561,0.9239999999999999,145.05
C2,0.21,0.52,0.31000000000000005,147.62
C1,0.164,0.617,0.45299999999999996,276.22
C3,0.715,1.84,1.125,157.34
C0,0.1,0.25,0.15,150.0
C3,0.739,1713.0,1712.261,231699.73
C0,0.131,0.055,-0.07600000000000001,-58.02
C1,0.181,0.742,0.5609999999999999,309.94
C2,0.079,0.024,-0.055,-69.62
C3,0.334,0.382,0.04799999999999999,14.37
C0,0.162,0.899,0.737,454.94
C1,0.132,0.098,-0.034,-25.76
C3,0.242,0.312,0.07,28.93
C3,0.153,0.294,0.141,92.16
C0,0.075,0.023,-0.052,-69.33
C0,0.203,0.089,-0.11400000000000002,-56.16
C3,0.231,0.283,0.05199999999999996,22.51
C2,0.277,0.947,0.6699999999999999,241.88
C2,0.168,0.112,-0.05600000000000001,-33.33
C0,0.122,0.059,-0.063,-51.64
C2,0.232,0.121,-0.11100000000000002,-47.84
C3,0.153,0.065,-0.088,-57.52
C1,0.206,0.986,0.78,378.64
C1,0.128,0.108,-0.020000000000000004,-15.63
C3,0.882,1.671,0.789,89.46
